id,sent1,sent2,label,annotation1,annotation2
1,"""It was a little bit embarrassing the way we played in the first two games,"" Thomas said.","""We're in the Stanley Cup finals, and it was a little bit embarrassing the way we played in the first two games.",0,Correct  missing the attribution....but these cases seem borderline...,Thomas said -> 0; 0 -> We're in the Stanley Cup finals;
2,The commission estimated California lost $937 million to corporate tax shelters in 2001.,California's lost tax revenue was mostly due to international corporate tax shelters.,1,Correct  To me this is borderline correct.  We dont have the part about the commission estimating the loss.  but generally the meaning that it lost tax revenue to corp. tax shelters seems about the same.  some minor numerical deletions from s1 to s2.,A has more details; arguably not a paraphrase;
3,Board Chancellor Robert Bennett declined to comment on personnel matters Tuesday.,"Mr. Mills declined to comment yesterday, saying that he never discussed personnel matters.",1,Incorrect  Not sure how this is annotated as a paraphrase!  Robert Bennett != Mr. Mills,*not a paraphrase; different names;
4,The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",0,"Incorreect  Seems semantically equivalent to me, save for the added information, but seems superfluous",*should be a paraphrase; 0 -> often at reduced hours;
5,"""We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed.","""We've put a lot of effort and energy into improving our patching progress, probably later than we should have.",0,Correct  Borderline - additional information makes this sentence seem cause and effect - like it is set up for that second clause.,A contains more than B; and now we're just gaining incredible speed -> 0;
6,"Benchmark Treasury 10-year notes gained 17/32, yielding 4.015 percent.","The benchmark 10-year note was recently down 17/32, to yield 4.067 percent.",0,"Correct  Meaning difference - s1 goes up, s2 goes down.  And numbers are off.",gained -> was ... down (opposite meaning);
7,"Pacific Northwest has more than 800 employees, and Wells Fargo has 2,400 in Washington.","It has 800 employees, compared with Wells Fargo's 2,400.",1,Correct  Due to anaphora (it) - which MT systems won't get right.,anaphoric reference;
8,"Every Thursday, a grains management committee meets in the Commission's agriculture directorate to decide the outcome of a weekly export tender.",A grains management committee normally meets each Thursday in the Commission's agriculture unit -- another target of Wednesday's raids -- to decide the outcome of a weekly export tender.,0,"Incorrect  This really should be marked as a paraphrase, just some crazy alternations.  Seems like the only difference is ""another target of Wednesday's raids"" but is that really changing the meaning that much?  OK re-reading this, I don't know, this seems borderline in the semantic equivelance case - not sure if this is really changing the meaning a whole lot.",A contains more than B; another target of Wednesday's raids -> 0;
9,"Several thousand 3rd Infantry troops, including the 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week.","A few thousand troops, most from the division's 3rd Brigade Combat Team based at Fort Benning in Columbus, began returning last week, with flights continuing through Friday.",0,"Incorrect  Seems semantically equivalent to me, save for the added information, but seems superfluous",B contains more information than A; Several -> a few; 0 -> with flights continuing through Friday;
10,Kodak expects earnings of 5 cents to 25 cents a share in the quarter.,Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.,1,"Correct / Incorrect (generic tag reduction)  Under MSRP guidelines with the generic tags reduced, this is correct.  But system doesnt have reduction so it marks at as not a paraphrase, which would also be correct.",not a paraphrase; B contains more information; numbers do not match;
11,"Dewhurst's proposal calls for an abrupt end to the controversial ""Robin Hood"" plan for school finance.","The committee would propose a replacement for the ""Robin Hood"" school finance system.",1,"Incorrect  s1 has Dewhurst (one person), while s2 has a committee.  s1 says the proposal calls for an end to the plan while s2 proposes a replacement - that's semantically different to me.",Dewhurst's proposal > 0; calls for an abrupt end to -> would propose a replacement for;
12,"Added Mr. Prodi: ""Maybe, but the old age helps us to understand our strengths and our weakness.""","""Maybe, but the old age helps us to understand our strength and our weakness and the reality of the world.",0,"Correct  I guess if we call removing the attribution as changing the meaning, then yes MSRP is correct, though the underlying statement is semantically equivalent.",Added Mr. Prodi -> 0; 0 -> and the reality of the world;
13,"Police said the suspected Marriott suicide bomber was Asmar Latin Sani, 28, from the island of Sumatra.","A sibling also identified Sani, 28, who was from the island of Sumatra, police said.",0,"Correct  No mention about the suicide bomber.  System thinks it is a paraphase because of enough other words and phrases outside the ""suspected Marriott suicide bomber"" --- actualyl I am surprised that this is marked as paraphrase by the system, the sentences are kind of short.",not a paraphrase; the suspected Marriott suicide bomber -> 0;
14,"Bulger's brother is now on the agency's ''10 Most Wanted'' list, sought in connection with 21 murders.","Bulger's brother, a former FBI informant, is now on the law enforcement agency's ""10 Most Wanted"" list.",0,"Incorrect  I think the general gist of s1 and s2 are the same, the other information doesn't change things all that much?",A and B each have extra material; sought in connection with 21 murders -> 0; 0 -> a former FBI informant;
15,"The Food and Drug Administration rejected ImClone's 2001 application to sell Erbitux, citing shoddy research.","The U.S. Food and Drug Administration rejected ImClone's original application in December 2001, saying the trial had been sloppily conducted.",1,"Correct  surprised system doesn't get this, but shoddy research probably is hard to match with trial sloppily conducted (tough paraphrase)",not a paraphrase; shoddy research  != the trial had been sloppily conducted;
16,"To put it very simply, Antetonitrus is Brontosaurus's older brother, hence the name.","Antetonitrus was brontosaurus' older brother, hence the name.",1,Correct  Not sure why system gets this wrong.,"A has intro. adverbial; To put it very simply, -> 0;"
17,"Police believe Wilson shot Reynolds, then her mother once in the head before fatally turning the gun on herself.",Police believe Wilson then shot Jennie Mae Robinson once in the head before turning the gun on herself.,0,"Correct  s1 is about Reynolds + plus, s2 is only about the mom, so different facts represented.  I think system gets it right because there is so much word overlap...infact just Reynolds and then JMR are different.",different names; Reynolds -> Jennie Mae Robinson;
18,Stocks dipped lower Tuesday as investors opted to cash in profits from Monday's big rally despite a trio of reports suggesting modest improvement in the economy.,Wall Street moved tentatively higher Tuesday as investors weighed a trio of reports showing modest economic improvement against an urge to cash in profits from Monday's big rally.,0,"Correct  Lot of words in common but there is that difference between ""dipped lower"" and ""moved tentatively higher"" - semantic difference",*not a paraphrase (opposite in meaning); Stocks dipped lower -> Wall Street moved tentatively higher;
19,"""If we could do that throughout the world, we could end terrorism,"" he said.","This is a hospital that treats everybody as people, and if we could do that throughout the world, we could end terrorism.""",1,"Correct  Anaphora. I think s1's ""that"" refers to the first part of s2 but in a different sentence.  So yeah a paraphrase, but hard for a system to get right which looks as much overlapping material as possible.",was judged a paraphrase by their anaphora criterion; 0 -> This is a hospital that treats everybody as people;
20,"While waiting for a bomb squad to arrive, the bomb exploded, killing Wells.",The bomb exploded while authorities waited for a bomb squad to arrive.,0,Correct  missing key part - Killing Wells.  Lot of material the same.,probably should be judged a paraphrase by overlap criterion; killing Wells -> 0; short sentence;
21,"The bodies of some of the dead, pulled out from under the train, were laid out beside the tracks while emergency services brought in wooden coffins.","The bodies of many of the dead, pulled from under the partially derailed train, were laid out by the tracks awaiting identification.",0,"Correct  Lot of overlap in the first 2/3, but s1 is about wooden coffins, s2 is abou waiting identification.",emergency services brought in wooden coffins -> 0; 0 -> awaiting identification;
22,"Stripping out the extraordinary items, fourth-quarter earnings were 64 cents a share compared to 25 cents a share in the prior year.",Earnings were 59 cents a share for the three months ended May 25 compared with 15 cents a share a year earlier.,0,Correct  System was way off!  Not sure how it got this wrong.  Maybe small 3-gram sequences were enough to call it paraphrase?,numbers do not match;
23,"The House voted 425 to 2 to clear the bill, the first of 13 that Congress must pass each year to fund the federal government.",The bill is among the first of 13 that Congress must pass each year to fund the federal government.,0,"Incorrect  Information is the same - first of 13, Congrass pass, fund federal government.  The original sentence simply has the voting numbers.",A entails B; The House voted 425 to 2 to clear the bill -> 0;
24,A tropical storm rapidly developed in the Gulf of Mexico Sunday and was expected to hit somewhere along the Texas or Louisiana coasts by Monday night.,A tropical storm rapidly developed in the Gulf of Mexico on Sunday and could have hurricane-force winds when it hits land somewhere along the Louisiana coast Monday night.,0,"Correct  The meaning is slightly different - first sentence is about where the storm hits, the second one seems more about the caliber of the storm.",B has more information than A; 0 -> could have hurricane-force winds;
25,"Lacy's last column, filed from the hospital, appeared in Friday's editions.",Lacy's last column appeared in Friday's edition of The Afro.,0,"I don't know!  The system marks this as a paraphrase because of last column, appeared, friday, etc. But s1 has ""filed from the hospital and editions"" and s2 has ""The Afro""",short sentence; filed from the hospital -> 0;
26,"The victim, whose name was not released, underwent surgery at the hospital.","The wounded doctor, whose name was withheld, underwent surgery at the hospital for three gunshot wounds.",0,"Borderline / Correct  This is an anaphora issue...is the victim = the wounded doctor?  oterwise, the facts of name being withheld and undergoing surgery at the hospital are all the same except for three gunshot wounds.",anaphoric reference; 0 -> three gunshot wounds;
27,"The blue-chip Dow Jones industrial average .DJI added 38 points, or 0.42 percent, to 9,165.","The Dow Jones Industrial Average [$INDU] ended at session highs, gaining 64.64 points, or 0.7 percent, to 9,191.09.",1,"Incorrect (generic tag redution)  I don't think this is a paraphrase because s2 has a session high which s1 does not have.  Numbers are all off so system will not mark this as a paraphrase, which I think is correct.",not a paraphrase; numbers do not match;
28,"The military said it had killed 12 rebels and captured nine in the campaign so far, for the loss of six soldiers wounded.","The military said it had killed 16 rebels and captured nine in the campaign so far, with one soldier killed and six wounded.",0,"Correct  I am not sure why this is marked as not para byt the humans if the numbers are xx'd out.  But maybe the ""old soldier killed"" makes a difference?  System thinks it is a paraohrase - there is a ton in common.",numbers differ; 0 -> with one soldier killed;
29,"Richard Miller remained hospitalized after undergoing a liver transplant, but his wife has recovered.","Richard Miller, 57, survived a lifesaving liver transplant but remains hospitalized.",0,"Correct  Not sure about this one, but I feel this additional information - ""his wife has recovered"" is a bit heavier than additional information like dates or ages. ???",A has more information; remained hospitalized -> survived; but his wife has recovered -> 0;
30,"Expenses are expected to be approximately $2.3 billion, at the high end of the previous expectation of $2.2-to-$2.3 billion.","Spending on research and development is expected to be $4.4 billion for the year, compared with the previous expectation of $4.3 billion.",1,"Correct / Incorrect (generic tag reduction)  MSRP annotation is ""correct"" given the guidelines to ignore numbers.  But when numbers are included, the system says incorrect, which is right.",not a paraphrase; numbers are different; expenses -> Spending on research and development;
31,"Critics say the law violates civil liberties, something House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to.","House Judiciary Committee Chairman James Sensenbrenner, R-Wis., says he is sensitive to civil liberties complaints.",0,"Correct  s1 is about Sensenbrenner agreeing with critics, s2 is saying what he is sensitive to.  It's subtle but I think different enough.  A lot of the material is overlapping so system gets it wrong, tough.",A contains more than B; Critics say the law violates civil liberties;
32,"Gyorgy Heizler, head of the local disaster unit, said the coach had been carrying 38 passengers.","The head of the local disaster unit, Gyorgy Heizler, said the coach driver had failed to heed red stop lights.",0,"Correct  s1 is about specifying the number of passengers, s2 is about why the accident happened.  System sees the first half and then coach and that probably is enough overlap to push it over the edge.  The non-overlapping part makes all the difference in the semantics.",carrying 38 passengers -> 0; 0 -> failed to heed red stop lights;
