id,sent1,sent2,label,annotation1,annotation2
1,"Here was the second period of Hebraic influence, an influence wholly moral and religious.","This was the second period of Hellenic influence, an influence wholly intellectual and artistic.",0,Hebraic -> Hellenic; moral and religious -> intellectual and artistic;,"Correct.  Exactly the same except for last two nouns, which trips up system."
2,"First we talked about it over the port, and then under the table.",After dinner we continued our talk sharing a bit of port.,1,short sentence; the table -> dinner; the humor of A is lost in B;,"Partially plagiarism.  Part of s1 (under the table) is dropped and ""after dinner"" is added, so it can appear there isn't good overlap between the two serntences.  Need some inference here."
3,"He replied with great kindness, and upon the point in question said: ""I watched the nest two or three times a day, from a time before the young were hatched till they departed; and now you mention it, it occurs to me that I never did see the male, but only the white-breasted female.","Although I did not know for certain, I believed this to be a male ruby-throated sparrow. At first I wondered if this was the male or the female.",1,misalignment;,Correct.  Split sentence.  Also s2 is missing a bunch of info from s1.  enough to trip up system>
4,"As to these, the general right of all nations to frequent the Banks, being open sea, was explicitly admitted; but the subjects of a foreign state had no right to fish within the maritime jurisdiction of Great Britain, much less to land with their catch on coasts belonging to her.","A third problem needed to be cleared up before all could be considered settled between all nations concerned with fishing the great Banks adjacent to the United Kingdom. Although the waters of the Banks are considered open sea and fishing is permitted for all, Great Britain retained sovereignty over coastal waters and her own ports and there were no rights guaranteed any other nations for usage thereof.",1,??,Correct.  Split sentence.
5,"But Gamelin, as he descended the steps among the press of jurors and spectators, saw nothing, heard nothing but his own act of justice and humanity and the self-congratulation he felt at having recognized innocence.","Guillergues was accepted as a brother again among all those present, especially Gamelin, whose frustrations could now finally be released in the form of a watery mist that freely ran down his cheeks.",1,misalignment,Incorrect though a lot of words in common.
6,"This the king hearing rejoiced mightily; and he caused him to come where his two children lay, and, being already full of faith, he promised that if God at the prayers of the saint would restore the children of his age, he and all his people would worship him.","After the king heard this he was happy since he wanted his two children back, so he promised to have all of his followers worship the gods if he could be blessed.",1,rejoiced mightily -> was happy; all his people -> his followers;,Correct.  s2 is a simplification of s1.
7,"of the whole, when the tree is felled, and contains a great many substances, such as albuminous matter, sugar, starch, resin, etc., etc., with a large portion of water","It is made up of different ingredients including a great deal of water some albuminous matter, starch, sugar and resin, etc",1,tree -> it; substances -> ingredients; word order is changed;,Borderline - I think there might be some merged sentences here.  But s2 matches last half of s1.
8,In the air there was a strange aromatic scent; and the stillness was heavy.,Gasping for air the retired onto the grass.,1,misalignment;,Incorrect.
9,"In vain does St. Ambrose, in the sixth century, say (On Abraham, liv.",But all these arguements are vain arguments.,1,misalignment,Incorrect.
10,"""Sukey will be good to him,"" said Mrs. Lawton, in tones more gentle than usual.","Was it her imagination, or did Mrs. Lawton's eyes look shifty?",1,misalignment;,Incorrect.
11,"The place, however, was not to his taste; and he was not the first traveller in France who, delighted with the gaiety of Paris, has been disappointed at finding that French provincial towns can be as dull as dulness itself could require","And, unfortunately, he wasn't alone in traveling to France, excited by the festive Paris, only to be let down when discovering that the French provincial towns had the capability of being very mundane",1,not the first traveller -> wasn't alone in traveling  disappointed -> let down dull -> mundane,Correct.  Lots of complex paraphrases.    delighted with gaiety --> excited by the festive can be as dull as dullness --> capability of being very mundane
